,R_mean,R_std,R_sum,G_mean,G_std,G_sum,B_mean,B_std,B_sum,total_mean,total_std,total_sum,class
865,173.36206552933675,56.555170865561216,8698615,169.0003587372449,60.114614367238666,8479762,193.68644371811226,36.856899477881065,9718411,178.68295599489795,53.28493989905692,26896788,cellSpace
866,162.22638313137756,46.303592414413416,8139871,152.9652024872449,53.45181498417517,7675182,177.0393215880102,42.90848287870065,8883125,164.07696906887756,48.77559398661516,24698178,cellSpace
867,174.68484933035714,58.71018134755523,8764987,167.0064772002551,67.60963980638176,8379717,181.12053571428572,53.89446484602608,9087904,174.2706207482993,60.61469247494669,26232608,cellSpace
868,180.50139508928572,50.490562217643465,9056838,159.73784279336735,65.18298718898684,8015006,169.27674585459184,57.169843499880635,8493630,169.8386612457483,58.54498519106793,25565474,cellSpace
869,166.9666374362245,41.88209136742381,8377718,155.57045200892858,50.37119566934903,7805903,179.1458067602041,43.32316274374277,8988820,167.22763206845238,46.354662526047385,25172441,cellSpace
870,211.94194435586735,19.134532627824925,10634399,207.5050422512755,23.548253930172525,10411773,211.97409119897958,19.065921781463565,10636012,210.4736926020408,20.795671180075583,31682184,cellSpace
871,213.4251036352041,39.531933006991125,10708818,211.57631138392858,43.36561594488559,10616053,221.7697305484694,26.53953819467917,11127518,215.59038185586735,37.446330496354896,32452389,cellSpace
872,103.21528220663265,59.479041250568365,5178930,99.73471380739795,58.53318651924722,5004289,159.0696946747449,43.585003026200354,7981481,120.67323022959184,60.77563289674687,18164700,cellSpace
873,165.82423867984693,51.47704633566603,8320397,151.86808434311226,60.22283037747403,7620133,161.85471141581633,52.437485718202524,8121222,159.84901147959184,55.16577102047865,24061752,cellSpace
874,186.78513632015307,50.969679361159805,9372131,177.92916932397958,61.49216500805269,8927774,188.5421914859694,49.40105443915079,9460293,184.4188323767007,54.419285682227276,27760198,cellSpace
875,211.15957828443877,36.373593310965205,10595143,210.01430963010205,41.12919068211298,10537678,213.8538743622449,27.757039767831703,10730332,211.67592075892858,35.556869548104174,31863153,cellSpace
